#,ID,Name,AddedBy,UploadDate,Location
1,69,Mighty Bomb Jack (U).nes,oknaa,2021-02-26 14:48:00,O:\Games\NES\Mighty Bomb Jack (U).nes
2,70,battery-report.html,oknaa,2021-02-26 14:48:09,O:\MyStuff\Files\battery-report.html
3,71,Hans Zimmer - S.T.A.Y. (Interstellar Main Theme)-N4o0qnSeVQQ.mp3,oknaa,2021-02-26 14:48:45,O:\MyStuff\Musics\Hans Zimmer - S.T.A.Y. (Interstellar Main Theme)-N4o0qnSeVQQ.mp3
4,72,"Clean Code - Uncle Bob _ Lesson 1 (What is clean code, functions, classes).mp4",oknaa,2021-02-26 14:49:11,"O:\MyStuff\Vedios\Study\Clean Code and Architecture\Uncle Bob\Clean Code - Uncle Bob _ Lesson 1 (What is clean code, functions, classes).mp4"
5,65,LES 7 RUBRIQUES QUE PEUT COMPORTER VOTRE CV.docx,oknaa,2021-02-26 13:11:21,C:\Users\Fujitsu\Documents\LES 7 RUBRIQUES QUE PEUT COMPORTER VOTRE CV.docx
6,66,[Judas] Shingeki no Kyojin - S04E05.mkv,oknaa,2021-02-26 14:47:28,O:\MyStuff\Vedios\Anime\Attack On Titan S4\[Judas] Shingeki no Kyojin - S04E05.mkv
7,67,IMG_5239.JPG,oknaa,2021-02-26 14:47:36,O:\MyStuff\Photos\IMG_5239.JPG
8,68,Cloud Atlas (2012) Open Matte  [1080p x265 q22 FS77 Joy].mkv,oknaa,2021-02-26 14:47:46,O:\MyStuff\Vedios\Movies\Seen\Cloud Atlas (2012) Open Matte  [1080p x265 q22 FS77 Joy].mkv
9,73,The Art of Game Design A Book of Lenses.pdf,oknaa,2021-02-26 14:49:36,O:\MyStuff\Files\BOOKs\The Art of Game Design A Book of Lenses.pdf
10,74,Your Name 01 .jpg,oknaa,2021-02-26 14:50:05,O:\MyStuff\Photos\Wallpaper\1080p anime\Your Name\Your Name 01 .jpg
